student_number,ansession,program,term,semester,state,count
00EAEA53925404FC55555CD74BA004400CF8584135A09F2439A087B08AC1F228,20111,Pure,2,Winter,Winter-Pure-2,2
00EAEA53925404FC55555CD74BA004400CF8584135A09F2439A087B08AC1F228,20113,Pure,3,Fall,Fall-Pure-3,3
00EAEA53925404FC55555CD74BA004400CF8584135A09F2439A087B08AC1F228,20121,Pure,4,Winter,Winter-Pure-4,4
00EAEA53925404FC55555CD74BA004400CF8584135A09F2439A087B08AC1F228,20123,Pure,5,Fall,Fall-Pure-5,5
00EAEA53925404FC55555CD74BA004400CF8584135A09F2439A087B08AC1F228,20131,Pure,6,Winter,Winter-Pure-6,6
00EAEA53925404FC55555CD74BA004400CF8584135A09F2439A087B08AC1F228,20131,200B0,7,Winter,Graduated,7
01068688BE229E1EECD0BE65BF482A03A9C58F094019B7D9583F7C319CE26043,20163,Enviro,1,Fall,Fall-Enviro-1,1
012ADB504900452BC9FD6060E76DB961CD20727FD51B58D0F756ABDA0C4B123F,20143,Pure,1,Fall,Fall-Pure-1,1
012ADB504900452BC9FD6060E76DB961CD20727FD51B58D0F756ABDA0C4B123F,20151,Pure,2,Winter,Winter-Pure-2,2
012ADB504900452BC9FD6060E76DB961CD20727FD51B58D0F756ABDA0C4B123F,20153,Pure,3,Fall,Fall-Pure-3,3
012ADB504900452BC9FD6060E76DB961CD20727FD51B58D0F756ABDA0C4B123F,20161,Pure,4,Winter,Winter-Pure-4,4
012ADB504900452BC9FD6060E76DB961CD20727FD51B58D0F756ABDA0C4B123F,20161,200B0,5,Winter,Graduated,5
014F185A1FEAF49679F116DA46F208A5C8C203960B59424DECF7A6962E8CC471,20113,Health,1,Fall,Fall-Health-1,1
014F185A1FEAF49679F116DA46F208A5C8C203960B59424DECF7A6962E8CC471,20121,Health,2,Winter,Winter-Health-2,2
014F185A1FEAF49679F116DA46F208A5C8C203960B59424DECF7A6962E8CC471,20123,Health,3,Fall,Fall-Health-3,3
014F185A1FEAF49679F116DA46F208A5C8C203960B59424DECF7A6962E8CC471,20131,Health,4,Winter,Winter-Health-4,4
014F185A1FEAF49679F116DA46F208A5C8C203960B59424DECF7A6962E8CC471,20131,200B0,5,Winter,Graduated,5
01612D6F0120A148A65392DEFB7851C84273A51F52BA0E910763E31311F86E67,20113,ESP,1,Fall,Fall-ESP-1,1
01612D6F0120A148A65392DEFB7851C84273A51F52BA0E910763E31311F86E67,20113,ESP,1,Fall,Out,2
01688C5A5FCDE91AFEA0C9D29313A0F6F6071EE929737707C85F5AF887C8D84B,20123,ESP,1,Fall,Fall-ESP-1,1
01688C5A5FCDE91AFEA0C9D29313A0F6F6071EE929737707C85F5AF887C8D84B,20123,ESP,1,Fall,Out,2
016DC6EB7A76110D387654D3865DC6E3F2FC8755564406A896013D17C26D6B5B,20151,Pure,1,Winter,Winter-Pure-1,1
016DC6EB7A76110D387654D3865DC6E3F2FC8755564406A896013D17C26D6B5B,20153,Pure,2,Fall,Fall-Pure-2,2
016DC6EB7A76110D387654D3865DC6E3F2FC8755564406A896013D17C26D6B5B,20161,Pure,3,Winter,Winter-Pure-3,3
016DC6EB7A76110D387654D3865DC6E3F2FC8755564406A896013D17C26D6B5B,20163,Pure,4,Fall,Fall-Pure-4,4
0188F78105CDB1F956C33185FC0C9C31FC9DE6EEDDA76FF5C3F0AF4BD585B5D9,20143,Health,1,Fall,Fall-Health-1,1
0188F78105CDB1F956C33185FC0C9C31FC9DE6EEDDA76FF5C3F0AF4BD585B5D9,20151,Health,2,Winter,Winter-Health-2,2
0188F78105CDB1F956C33185FC0C9C31FC9DE6EEDDA76FF5C3F0AF4BD585B5D9,20153,Health,3,Fall,Fall-Health-3,3
0188F78105CDB1F956C33185FC0C9C31FC9DE6EEDDA76FF5C3F0AF4BD585B5D9,20161,Health,4,Winter,Winter-Health-4,4
0188F78105CDB1F956C33185FC0C9C31FC9DE6EEDDA76FF5C3F0AF4BD585B5D9,20161,200B0,5,Winter,Graduated,5
018EC04BD4B1D4A7EB8491845BC7E58344A7414365FCC09E8B78B6A33A988835,20133,Health,1,Fall,Fall-Health-1,1
018EC04BD4B1D4A7EB8491845BC7E58344A7414365FCC09E8B78B6A33A988835,20141,Health,2,Winter,Winter-Health-2,2
018EC04BD4B1D4A7EB8491845BC7E58344A7414365FCC09E8B78B6A33A988835,20143,Health,3,Fall,Fall-Health-3,3
018EC04BD4B1D4A7EB8491845BC7E58344A7414365FCC09E8B78B6A33A988835,20151,Health,4,Winter,Winter-Health-4,4
018EC04BD4B1D4A7EB8491845BC7E58344A7414365FCC09E8B78B6A33A988835,20151,200B0,5,Winter,Graduated,5
0193BA18F0077735C4C90DCF684993882661502DF5AA10C0FC01C07C555EEA8B,20163,Health,1,Fall,Fall-Health-1,1
01940D177536DDD8CA5410716DAA39CB418A41F9408C6F284B42A6B9B18CC2F8,20163,Health,1,Fall,Fall-Health-1,1
019C1BDA741A35AD12605E5700E3338372EA2F5DF4F3E542C5ECF26AC942E3C9,20123,Health,1,Fall,Fall-Health-1,1
019C1BDA741A35AD12605E5700E3338372EA2F5DF4F3E542C5ECF26AC942E3C9,20131,Health,2,Winter,Winter-Health-2,2
019C1BDA741A35AD12605E5700E3338372EA2F5DF4F3E542C5ECF26AC942E3C9,20133,Health,3,Fall,Fall-Health-3,3
019C1BDA741A35AD12605E5700E3338372EA2F5DF4F3E542C5ECF26AC942E3C9,20141,Health,4,Winter,Winter-Health-4,4
019C1BDA741A35AD12605E5700E3338372EA2F5DF4F3E542C5ECF26AC942E3C9,20141,200B0,5,Winter,Graduated,5
01A72ABE2475D9C34D4444EFFB64F55F62098DF6498F3CF5BCF15421311FDE74,20153,Pure,1,Fall,Fall-Pure-1,1
01A72ABE2475D9C34D4444EFFB64F55F62098DF6498F3CF5BCF15421311FDE74,20161,Pure,2,Winter,Winter-Pure-2,2
01A72ABE2475D9C34D4444EFFB64F55F62098DF6498F3CF5BCF15421311FDE74,20163,Pure,3,Fall,Fall-Pure-3,3
01B91FDD1B172554209A8262DF98300E08C628FE01EAFBAA42FC00707E2B409C,20103,Health,1,Fall,Fall-Health-1,1
01B91FDD1B172554209A8262DF98300E08C628FE01EAFBAA42FC00707E2B409C,20111,Health,2,Winter,Winter-Health-2,2
01B91FDD1B172554209A8262DF98300E08C628FE01EAFBAA42FC00707E2B409C,20111,200B0,3,Winter,Graduated,3
01BBCEE8A6D2CDD5C4BB7CE3575599792CC680D26149B0C5A1348B521E9D584B,20143,Health,1,Fall,Fall-Health-1,1
01BBCEE8A6D2CDD5C4BB7CE3575599792CC680D26149B0C5A1348B521E9D584B,20151,Health,2,Winter,Winter-Health-2,2
01BBCEE8A6D2CDD5C4BB7CE3575599792CC680D26149B0C5A1348B521E9D584B,20153,Health,3,Fall,Fall-Health-3,3
01BBCEE8A6D2CDD5C4BB7CE3575599792CC680D26149B0C5A1348B521E9D584B,20161,Health,4,Winter,Winter-Health-4,4
01BBCEE8A6D2CDD5C4BB7CE3575599792CC680D26149B0C5A1348B521E9D584B,20161,200B0,5,Winter,Graduated,5
01C8B489954D1AF27F2077C9A49695CCD7AC223BE7E52868AA886E81DCBA2628,20153,Pure,1,Fall,Fall-Pure-1,1
01C8B489954D1AF27F2077C9A49695CCD7AC223BE7E52868AA886E81DCBA2628,20161,Pure,2,Winter,Winter-Pure-2,2
01C8B489954D1AF27F2077C9A49695CCD7AC223BE7E52868AA886E81DCBA2628,20163,Pure,3,Fall,Fall-Pure-3,3
01D871D74FBDEFE81C8E8D98102652CAF1CCCD2FD9208D604377B25538F8F96C,20163,Health,1,Fall,Fall-Health-1,1
01F2BF63097800B3ABBAC4F8C2CA31EA6501F7129FF80F78001A47AB96882361,20143,Pure,1,Fall,Fall-Pure-1,1
01F2BF63097800B3ABBAC4F8C2CA31EA6501F7129FF80F78001A47AB96882361,20151,Pure,2,Winter,Winter-Pure-2,2
01F2BF63097800B3ABBAC4F8C2CA31EA6501F7129FF80F78001A47AB96882361,20153,Pure,3,Fall,Fall-Pure-3,3
01F2BF63097800B3ABBAC4F8C2CA31EA6501F7129FF80F78001A47AB96882361,20161,Pure,4,Winter,Winter-Pure-4,4
01F2BF63097800B3ABBAC4F8C2CA31EA6501F7129FF80F78001A47AB96882361,20163,Pure,5,Fall,Fall-Pure-5,5
01F85C5694271D074EBCF7B09E670ADFD563A77286400F77DBD616BE2593AB9B,20103,Pure,1,Fall,Fall-Pure-1,1
01F85C5694271D074EBCF7B09E670ADFD563A77286400F77DBD616BE2593AB9B,20111,Pure,2,Winter,Winter-Pure-2,2
01F85C5694271D074EBCF7B09E670ADFD563A77286400F77DBD616BE2593AB9B,20113,Pure,3,Fall,Fall-Pure-3,3
01F85C5694271D074EBCF7B09E670ADFD563A77286400F77DBD616BE2593AB9B,20121,Pure,4,Winter,Winter-Pure-4,4
